sample_id	url	host	text_preview	predicted_domain	gold_domain	reviewer_note
s0019	https://muignition2.webzen.co.kr/guides/gameguides/detail/1836	muignition2.webzen.co.kr	■ 펫 변이 신규 컨텐츠인'펫 변이는 펫 시스템 오픈 시 오픈되며, 서버 오픈 5일째 되는 날 2개의 캐릭터 200레벨 달성 시 오픈됩니다. 1) 펫 활성 후, 펫에게 펫 변이 약을 먹이면 펫의 공격, 방어, 생명 속성이 증가되고, 변이 수치가 생성됩니다. 2) 펫의 변이 수치가 가득 차면 변이 레벨이 증가되며, 변이 레	web_general	web_general	
s0020	https://teslapronews.ru/ko/%ED%85%8C%EC%8A%AC%EB%9D%BC-%EB%82%A8%ED%98%B8%EC%A3%BC-%EA%B0%80%EC%83%81-%EB%B0%9C%EC%A0%84%EC%86%8C-4%EB%8B%A8%EA%B3%84-%EC%B0%A9%EC%88%98/	teslapronews.ru	Tesla는 최근 남호주에서 VPP(Virtual Power Plant) 프로젝트의 4단계를 시작했다고 발표했습니다. 가장 새로운 단계는 성장하는 네트워크에 추가로 3,000개의 저소득 가정을 환영할 것입니다. 남호주에서 진행되는 Tesla의 VPP 프로젝트는 매우 야심차며, 이 이니셔티브는 일반적으로 회사의 전기 자동차	news	news	
s0021	https://www.udna.kr/post/red-hat-enterprise-linux-7%EC%9D%84-%EC%9D%B4%EC%A0%9C-nvidia-dgx-server-station%EC%9D%B4-%EA%B3%B5%EC%8B%9D-%EC%A7%80%EC%9B%90%ED%95%A9%EB%8B%88%EB%8B%A4	www.udna.kr	2020년 2월 6일 NVIDIA에서 DGX Server와 DGX Station 소프트웨어 스택에 레드햇 엔터프라이즈 리눅스(RHEL) 서버 7을 포함한다고 발표했습니다. 이로써 DGX Server와 DGX Station을 이용하는 사용자에게 운영체제 선택권이 우분투 데스크톱 리눅스에서 RHEL 7까지 넓어졌습니다. 기업	web_general	news	
s0022	https://ws.or.kr/article/820	ws.or.kr	지난 달 토니 블레어는 미국 의회에서 “우리는 흑인이든 백인이든, 그리스도교도든 아니든, 좌파든 우파든 심지어 정치 무관심파든, 모든 인간이 자유롭게 살 수 있는 권리, 이 양도할 수 없는 권리를 위해 싸우고 있다.” 하고 아부성 연설을 했다. 우리가 알다시피 블레어는 거짓말을 밥먹듯이 한다. 국제사면위원회(앰네스티 인터	web_general	news	
s0023	https://ilyo.co.kr/?ac=article_view&entry_id=468961	ilyo.co.kr	[일요신문] 수원특례시(시장 이재준)는 '2024년 수원특화 청년 해외인턴지원사업(미국)'에 참여할 청년 30명을 4월 30일까지 모집한다고 15일 밝혔다. 수원특화 청년 해외인턴지원사업은 미국 기업 취업을 희망하는 청년들에게 미국 기업에서 인턴으로 일할 기회를 제공하는 것이다. 개별 맞춤형 취업컨설팅으로 참여 청년이 원	web_general	news	
s0024	https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=202402261488i	www.wowtv.co.kr	농가 소득 보전 등을 요구하는 유럽 각국의 농민 시위대가 26일(현지시간) 오전 유럽연합(EU) 본부 앞으로 몰려들었다. 스페인 마드리드와 폴란드-독일 국경 지역에서도 농민들의 대규모 시위가 벌어졌다. 로이터 통신 등에 따르면 이날 EU 농업장관 회의가 열린 가운데 유럽 전역에서 몰려온 농민들은 농산물 수입 계획 철폐, 	web_general	news	
s0025	https://tournews21.com/news/articleView.html?idxno=67647	tournews21.com	[투어코리아=조성란 기자] 하나투어가 기존가 다른 색다른 여행을 떠나고 싶어고자 하는 이들을 위해 신상여행 상품을 모아 ‘NEW ARRIVALS 방금도착 신상여행’ 기획전을 진행한다. 하나투어만의 기획력이 돋보이는 콘셉트와 일정, 새로운 지역을 만나볼 수 있는 국내·외 패키지 여행부터 항공권, 호텔, 입장권 등 신상품들로	news	news	
s0026	https://sports.chosun.com/news/news_o3.htm?name=/news/old/200002/20000223s072	sports.chosun.com	뉴스 최신뉴스 카드뉴스 PDF 보기 포토 펀펌 스포츠 야구 축구 농구 배구 골프 학교체육 연예 SC초점 SC이슈 SC현장 라이프 여행레저 헬스케어 Family Site 청룡영화상 청룡시리즈어워즈 조선일보 와이즈토토 야구 축구 종합 연예 라이프 포토 만화 운세 Diva 유튜브  네이버TV [선수협] '제도개선위 구성 제안은	news	news	
s0027	https://shindonga.donga.com/culture/article/all/13/105906/1	shindonga.donga.com	- 현대의학은 당뇨가 인슐린 부족에 의한 자가면역질환임을 밝혔지만 그 근본원인은 아직 찾아내지 못했다. 요즘은 젊은층까지 파고든 어깨 질환 ‘오십견’도 난치병이긴 마찬가지. 몸살림운동은 당뇨의 원인을 고관절과 흉추 11번의 틀어짐에서 찾고, 오십견은 고관절과 어깨관절의 틀어짐 때문에 일어난다고 주장한다. 당뇨와 오십견을 	news	web_general	
s0028	http://rn-tech.com/bbs/board.php?bo_table=data&wr_id=260&page=11	rn-tech.com	++ (주)알엔테크에 오신것을 환영합니다 작성일 : 10-08-13 08:45 저온핵융합 국제특허 공개자료 입니다. 글쓴이 : 관리자 조회 : 14,985 상온, 저온 또는 중온에서의 핵융합 연구는 국가의 미래를 위한 투자입니다. 150ppm의 중수를 포함하는 물(water)을 전처리 하지 않은 채 원료로 사용하는 중온핵	ko_en_mixed	community	
s0029	http://www.ebn.co.kr/news/view/899827	www.ebn.co.kr	|▲ 마트에서 바나나를 고르고 있는 모습ⓒ연합| 바나나가 올해 상반기 가장 많이 팔리는 과일이 됐다. 합리적인 가격과 간단한 식사 대용으로 인기를 끌고 있는 것으로 보인다. 7일 이마트에 따르면 올 상반기 바나나 매출은 작년 동기대비 8.7% 증가한 376억원을 기록했다. 바나나가 반기 기준으로 이마트에서 과일 매출 1위	web_general	news	
s0030	http://stoo.asiae.co.kr/news/view.htm?idxno=2018031408250055553	stoo.asiae.co.kr	'라디오스타' 이상화 / 사진=MBC 제공원본보기 [스포츠투데이 이소연 기자] 빙속 여제 이상화가 '라디오스타' 녹화 중 자신의 평창 올림픽 경기 영상을 처음으로 보며 눈물을 왈칵 쏟았다. 밴쿠버-소치-평창까지 3연속 메달을 따며 대한민국 빙상 역사를 새롭게 쓴 그녀는 경기 영상을 보며 당시의 감정을 전했고, 앞으로의 선	news	news	
s0031	http://tenasia.hankyung.com/archives/430688	tenasia.hankyung.com	가수 하동균이 파리넬리에 빙의 한 듯 혼신의 힘을 다한 무대로 이본을 비롯한 많은 여성들을 매료시켰다. 저음과 고음을 넘나드는 광폭음역대와 3단 고음을 능가하는 3톤 변화로 모두를 놀라게 한 무대를 꾸미며 여심 사냥을 예고해 주목을 받고 있다. 30일 밤 9시 30분 첫 방송되는 MBC 대표 음악버라이어티 ‘나는 가수다-	news	news	
s0032	http://www.yasinmoon.com/news/articleView.html?idxno=28560	www.yasinmoon.com	이순신 장군 ‘약무호남 시무국가’(若無湖南 是無國家) 어록비 제막식이 15일 군서면 군립하정웅미술관 옆 연주현씨 종가에서 거행됐다. 이날 제막식에는 박준영 의원, 박영배 군의장을 비롯한 군의원, 김연일·우승희 도의원, 김한남 문화원장, 연주현씨 종중대표 등 각계 인사들이 참석, 이순신 장군이 남긴 어록의 숭고한 정신을 기	web_general	news	
s0033	http://www.tripadvisor.co.kr/Hotel_Review-g58693-d566221-Reviews-Motel_Puyallup-Puyallup_Washington.html	www.tripadvisor.co.kr	전화번호: 지역: 미국 > 워싱턴주 > 퓨알랍 편의 시설: 무료 조식 무료 주차 애완동물 허용 6위 (7건의 퓨알랍 소재 호텔 중에서) 가격대 (1박): 74,408 원 - 98,083 원 - 예약 옵션: - 트립어드바이저는 Booking.com사와 제휴 관계를 맺고 있으므로, 회원님께서는 안심하고 Motel Puyall	web_general	ko_en_mixed	
s0034	http://www.tripadvisor.co.kr/Hotel_Review-g36112-d87748-Reviews-Knights_Inn_Hazel_Crest-Hazel_Crest_Illinois.html	www.tripadvisor.co.kr	지역: 미국 > 일리노이 > 헤이즐크레스트 편의 시설: 무료 조식 무료 주차 애완동물 허용 휠체어 편의 디자인 (배리어 프리) 2위 (2건의 헤이즐크레스트 소재 호텔 중에서) - 예약 옵션: - 트립어드바이저는 Agoda사와 제휴 관계를 맺고 있으므로, 회원님께서는 안심하고 Knights Inn Hazel Crest의 예	web_general	ko_en_mixed	
s0035	http://www.newswire.co.kr/newsRead.php?no=618842&ected=	www.newswire.co.kr	쌀가루로 만든 콘피자 카페전문점 모스트콘피자(www.mostfood.co.kr)는 국내산 쌀을 이용해 만들어 아이들과 주부들로부터 높은 호응을 얻고 있다. 이에 따라 주택가 밀집지역에서 반응이 폭발적이다. 모스트콘피자 카페는 소규모 매장에 이어 대형 매장들이 잇따라 런칭하면서 젊은층의 반응도 좋다. 주택가 틈새시장 공략이	news	news	
s0036	http://www.germany.travel/kr/towns-cities-culture/towns-cities/ingolstadt.html	www.germany.travel	여러 면을 지닌 도시 - 전통과 역사가 가득하고, 동시에 현대적인 도시의 정서가 있으며, 생기 넘치는 삶을 즐기는 도시: 잉골슈타트는 도나우 강변의 대학 도시이자, 쇼핑 도시, 짜릿한 다채로운 매력과 분위기로써 사람을 열광시킵니다. 특히 아우디 포럼은 자동차 애호가에게만 흥미로운 장소가 아닙니다. 예쁜 지붕이 있는 복원된	web_general	web_general	
s0037	http://windows.microsoft.com/ko-kr/windows-8/hp-envy-touchsmart-15	windows.microsoft.com	실제 프로젝트와 양방향 엔터테인먼트 모두에 어울리는 가벼운 최첨단 터치 스크린 노트북을 만나세요. HP 한 장의 금속판으로 스탬프 가공된 튼튼한 셸로 만든 프레임은 깃털처럼 가벼워서 어디에나 들고 다닐 수 있습니다. 밀린 메일을 읽을 때도 최신 영화를 확인할 때도, ENVY TouchSmart 15의 뛰어난 생산성과 엔터	web_general	technical	
s0038	http://www.booking.com/hotel/th/the-cottage-suvarnabhumi.ko.html	www.booking.com	내가 확인한 호텔  The Cottage Suvarnabhumi 888/8 Lat krabang Soi 20/2 Lat krabang Road, , 10520 랏크라방 (지도 표시) 왜 Booking.com인가요? 실외 야외수영장, 야외 수영장(연중무휴), 정원, 테라스, 일광욕 테라스 구내 시설 골프장(3km 이내), 	web_general	web_general	
s0039	https://seongnam-senior.com/social-participation/13542/	seongnam-senior.com	[시니어신문=이길상 기자] 취약계층에 대한 고효율 가전제품 구매 비용 환급 비율이 확대된다. 산업통상자원부는 취약계층의 에너지요금 부담을 덜어주기 위해 올해 고효율 가전제품 구매비용을 늘려 지원하기로 했다고 1일 밝혔다. 그동안 전기요금 복지할인 가구를 대상으로 고효율 가전제품 구입 가격의 10%를 가구당 30만원까지 지	web_general	news	
s0040	https://bcpark.net/bbs/359616	bcpark.net	비씨파크 개인정보 처리방침 (Ver.2016.11.18) 비씨파크는 이용자 개인정보 보호를 여러 경영요소 가운데 최우선의 가치로 두고 있습니다. 비씨파크 개인정보처리방침 비씨파크주식회사(이하 ‘비씨파크’ 또는 회사’)는 서비스 기획부터 종료까지 정보통신망 이용촉진 및 정보보호 등에 관한 법률(이하 ‘정보통신망법’), 개인	web_general	web_general	
s0041	https://betcb.net/bbs/board.php?bo_table=sports_news&wr_id=352	betcb.net	페이지 정보 - 작성자벳큐브 - 댓글 : 0 - 조회 : 38 - 작성일 : 2023-05-29 10:17 본문 이강인이 경고 누적으로 결장한 마요르카가 스페인 프로축구 프리메라리가 우승팀 바르셀로나에 완패했다. 마요르카는 29일 바르셀로나의 캄노우에서 열린 라리가 37라운드 바르셀로나와 원정경기에서 0-3으로 졌다. 지	web_general	web_general	
s0042	https://dramastory2.tistory.com/tag/%EC%9C%A0%ED%98%B8%EC%A0%95?page=2	dramastory2.tistory.com	반응형 유호정29 풍문으로 들었소 21회-유호정 독재 회귀, 고아라 을 반란 폭풍의 핵이 되었다 인상을 탐내는 영라. 불안한 분위기 속 문제는 모두 봄에게 집중되기 시작했습니다. 관리 회사가 세워지고 작성된 계약서에 대한 궁금증이 폭주하며 한정호 집안은 폭풍전야에 빠지게 되었습니다. 자신이 무슨 잘못을 하는지 알지 못한 	blog	web_general	
s0043	https://wspaper.org/article/24816	wspaper.org	현재 세계경제는 코로나19 팬데믹과 함께 1930년대 이후 최악의 불황을 겪고 있다. 10월 13일 국제통화기금(IMF)는 올해 세계경제가 4.4퍼센트 수축할 것이라고 발표했다. 이는 2009년 공황 시기에 -0.1퍼센트를 기록했던 것보다도 훨씬 큰 하락 폭이다. IMF는 신흥국의 경제 성장률 전망치도 -3.3퍼센트를 기	web_general	news	
s0044	http://sillanews.com/news/view.php?no=4194	sillanews.com	- 전국 지역자활센터 상위 10% 이내 '최우수기관'으로 선정 - 지역특화 우수 사업 중 경주 '모래소독사업' 당당히 이름 올려 [신라신문=은재원 기자] 경주지역자활센터가 보건복지부 주관 '2021~2022년 지역자활센터 성과 평가'에서 최우수기관으로 선정됐다고 23일 밝혔다. 경주지역자활센터는 이번 선정으로 최우수지역자	news	news	
s0045	https://www.sportstoto.link/review/%EC%B9%B4%EC%A7%80%EB%85%B8%EC%82%AC%EC%9D%B4%ED%8A%B8-%EC%8A%88%ED%8D%BC%EC%B9%B4%EC%A7%80%EB%85%B8/	www.sportstoto.link	카지노사이트 슈퍼카지노 보증코드 가입코드 : 6666 보너스 가입첫충 30% / 페이백 5% 보증정보 - 먹튀검증 완료: 2023년 07월 28일 검증 완료 - 보증금 유무: 1억원 보증금 예치 최고의 온라인 카지노인 슈퍼카지노에서 카지노 게임과 혜택을 만나보세요! 이제 슈퍼카지노와 함께 진정한 카지노의 매력을 경험하세요	web_general	web_general	
s0046	https://www.cosinkorea.com/mobile/article.html?no=48575	www.cosinkorea.com	[코스인코리아닷컴 이효진 기자] 바이오기업 라파스의 마이크로니들 파이프라인 개발이 순항 중이라는 증권가의 분석이 나왔다. 라파스는 마이크로니들 제조기술을 전문의약품, 백신에도 접목하며 경피전달 의약품을 확대하고 있다. 매출의 대부분이 미용 패치에서 발생하고 있으며 중장기적으로 의약품과 백신 제품 개발에 따른 모멘텀이 지속	web_general	news	
s0047	https://www.newstong.co.kr/view3.aspx?seq=1165489	www.newstong.co.kr	흑연 이미지. (사진=배터리 인사이드) 2차전지라는 용어를 많이들 들어봤을 겁니다. 1차전지는 리모콘, 시계 등 소형 제품에 주로 사용해온 배터리로서 전력이 떨어지면 끝입니다. 2차전지는 충전이 가능한 제품으로 전기차와 휴대폰에 들어갑니다. 2차전지의 대명사는 리튬이온배터리입니다. 리튬이온배터리의 안정성은 음극에 흑연을 	news	web_general	
s0048	https://webmini.kr/%EA%B1%B4%EA%B0%95%EB%A1%9C%EB%98%90%EB%A1%9C-%ED%96%89%EB%B3%B5%ED%95%9C-%EA%B2%BD%EC%A3%BC%EB%A5%BC-%EB%A7%8C%EB%93%A4%EC%96%B4-%EB%B3%B4%EC%9E%90/	webmini.kr	어느 듯 7월의 마지막을 달리고 있습니다. 올해는 몇년동안의 더위보다 더 더운 듯 하네요..!! 모두 더위 조심 하시기 바랍니다. 올해 경주시보건소에서는 “건강로또로 행복하세요” 라는 타이틀과 함께 로또번호의 숫자에 건강맞춤 운동을 하고 있습니다. 우리가 평소에 할 수 있는 건강은 참 많습니다. 대표적으로 요즘 광고를 하	web_general	web_general	
s0049	https://www.ktown1st.com/in/detail/969	www.ktown1st.com	문화/행사 땡스기빙 때 무슨 요리하세요?? 작성자 jessica 날짜 2018.11.06 미국에서 이번에 처음 땡스기빙을 맞이하는데요~~!땡스기빙 때는 주로 집에서 맛있는 요리를 해먹는다고 하더라고요!!제가 요리하는 거 좋아해서 시도해보려구 하는데주로 어떤 요리를 많이 해먹나요?? DISCLAIMER이곳에 게시된 글들은 	web_general	community	
s0050	http://www.dotolim.com/?paged=2&tag=olaf-hochherz	www.dotolim.com	닻올림은 공간이 협소하고 한정된 관객만 받을 수 있는 구조입니다. 따라서 공연에 따라 관람이 어려우신 경우가 있어 꼭 공연을 관람하고자 하시는 분들을 대상으로 사전 예매를 받고 있습니다. 예매를 원하시는 분들은 firstname.lastname@example.org 또는 트위터 @dotolim 팔로우 뒤 다이렉트 메시지(	ko_en_mixed	web_general	
s0051	http://www.wizculture.com/news/articleView.html?idxno=4857	www.wizculture.com	위즈컬쳐 김다혜 기자 = 2018년 17년만에 완전체로 팬들 앞에 돌아왔던 High-five Of Teenagers. 팬들의 지속적인 요청과 멤버들의 마음을 한데 모은 콘서트가 다시 한 번 팬들을 찾는다. 오는 9월, 2019 콘서트 개최가 확정된 High-five Of Teenagers는 한층 더 업그레이드 된 모습으로	web_general	news	
s0052	http://www.dhnews.co.kr/news/articleView.html?idxno=6599	www.dhnews.co.kr	서울여대, 서강대 등 50주년 광고 '눈길' <광고 동향> <광고 분석> 3월 넷째주 대학광고는 중앙일보(3월 24일자) 대학 교육 특별 섹션에 게재된 광고가 눈길을 끌었다. 서울여대와 서강대는 개교 50주년을 강조하는 광고를 선보였다. 또한 대구한의대는 오성캠퍼스, 동국대는 일산캠퍼스 개교 광고를 선보이며 새로운 도약을	news	news	
s0053	http://fish.darakwon.co.kr/fishtech/fishtech_view.asp?b_no=2367&re_page=%2Ffishtech%2Ffishtech.asp%3FGotoPage%3D18%26menu%3D0501	fish.darakwon.co.kr	최초공개 한탄강 잉어 여울견지, 진짜 특별한 손맛! 가냘픈 견짓대로 水龍을 제압하다 이기선 기자 blog.naver.com/saebyek7272 우리 고유의 견지낚시는 주로 누치를 대상어종으로 삼고 있지만 최근엔 잉어를 노려 출조하고 있는 견지낚시 동호인들이 생겨나고 있다. 파르르 떨리는 낭창한 견짓대로 누치와는 비할 바	web_general	news	
s0054	http://www.happy125.kr/index.php?mid=news_column&document_srl=5421	www.happy125.kr	삼성중공업과 함께하는 감사형통(感謝亨通) 프로젝트 행복, 지금 내 앞에 놓인 선물 “행복이란 무엇인가?” 삼성중공업 산재복직자 대상 감사힐링 프로그램에서는 행복에 대한 진지한 고찰의 시간을 갖고 스스로 행복한 삶을 개척해나가기 위한 발걸음을 내디뎠다. 행복이란 지극히 주관적인 감정이다. 각자가 행복을 느끼는 순간이 다른 	web_general	news	
s0055	http://www.medialine.co.kr/news/articleView.html?idxno=581	www.medialine.co.kr	[미디어라인=하원배 기자] 지난 28일 국회의원회관에서 국민연금개혁에 관련된 토론회가 열렸다. 토론회에는 좌장으로 김대호 사회디자인연구소장이 참여했고, 발제자로는 누가 내 국민연금을 죽였나 김형모 저자가 나왔으며, 토론으로는 김선택 한국 납세자연맹 회장, 최유성 가톨릭 관동대 사회복지학과 초빙교수, 윤석명 한국보건사회연구	web_general	news	
